"num_incidents","avg_response","avg_speed","day"
"4","403.75","52.03729166666666","145"
"1","302.0","25.361944444444443","146"
"2","395.5","66.2867361111111","147"
"7","563.0","47.59712301587302","148"
"2","112.85106382978724","32.97602836879433","149"
"3","277.6666666666667","39.815416666666664","150"
"6","289.3333333333333","33.55733796296296","151"
"4","286.0","30.43159722222222","152"
"6","389.1666666666667","45.22289351851851","153"
"1","311.0","25.90152777777778","154"
"5","231.8","34.54719444444444","155"
"12","325.9117647058824","53.97975490196079","156"
"5","455.2","38.51638888888887","157"
"9","344.0","34.128163580246905","158"
"3","268.3333333333333","47.27458333333334","159"
"1","312.0","46.95000000000001","160"
"6","298.8333333333333","36.82150462962962","161"
"6","505.5","54.24636574074072","162"
"2","413.57142857142856","58.47031746031745","163"
"3","395.6666666666667","40.70745370370371","164"
"5","307.6","56.10616666666663","165"
