"id_original","latitude","longitude","emdcardnumber","time_utc","time_local","response_time_sec","weekend_or_not","geometry","incident_id","dist_to_seg","xdsegid","month","hour_of_day","day","window_of_day","day_of_week","window_id","xd_id","measurement_tstamp","measurement_tstamp_str","speed","average_speed","reference_speed","travel_time_seconds","confidence_score","cvalue","congestion","extreme_congestion","year","segid","roadname","xdgroup","win_id","precip","temp","vis","wind_spd"
"ObjectId(5d7a38a295fad01a4ccc7b59)","36.18755918","-86.86244072","29B1","18:03.0","18:03.0","244","0","POINT (-86.86244072 36.18755918)","15670","0.30070078","1520000000","9","7","255","2","Thu","2019.255.2","1524322963","40:00.0","9/12/2019 10:40","65.72","59.0","59.0","21.28","30.0","79.0","0.0","0.0","2019","1524322963","BRILEY PKWY","3177297","2019.255.2","0.0","26.65000000000001","15.733333333333333","1.0133333333333336"
"ObjectId(5d7a38a295fad01a4ccc7b59)","36.18755918","-86.86244072","29B1","18:03.0","18:03.0","244","0","POINT (-86.86244072 36.18755918)","15670","0.30070078","1520000000","9","7","255","2","Thu","2019.255.2","1524322963","35:00.0","9/12/2019 10:35","63.4","59.0","59.0","22.06","30.0","99.0","0.0","0.0","2019","1524322963","BRILEY PKWY","3177297","2019.255.2","0.0","26.65000000000001","15.733333333333333","1.0133333333333336"
"ObjectId(5d7a38a295fad01a4ccc7b59)","36.18755918","-86.86244072","29B1","18:03.0","18:03.0","244","0","POINT (-86.86244072 36.18755918)","15670","0.30070078","1520000000","9","7","255","2","Thu","2019.255.2","1524322963","30:00.0","9/12/2019 10:30","65.12","59.0","59.0","21.48","30.0","83.0","0.0","0.0","2019","1524322963","BRILEY PKWY","3177297","2019.255.2","0.0","26.65000000000001","15.733333333333333","1.0133333333333336"
"ObjectId(5d7a38a295fad01a4ccc7b59)","36.18755918","-86.86244072","29B1","18:03.0","18:03.0","244","0","POINT (-86.86244072 36.18755918)","15670","0.30070078","1520000000","9","7","255","2","Thu","2019.255.2","1524322963","25:00.0","9/12/2019 10:25","64.76","59.0","59.0","21.6","30.0","87.0","0.0","0.0","2019","1524322963","BRILEY PKWY","3177297","2019.255.2","0.0","26.65000000000001","15.733333333333333","1.0133333333333336"
"ObjectId(5d7a38a295fad01a4ccc7b59)","36.18755918","-86.86244072","29B1","18:03.0","18:03.0","244","0","POINT (-86.86244072 36.18755918)","15670","0.30070078","1520000000","9","7","255","2","Thu","2019.255.2","1524322963","20:00.0","9/12/2019 10:20","64.2","59.0","59.0","21.79","30.0","92.0","0.0","0.0","2019","1524322963","BRILEY PKWY","3177297","2019.255.2","0.0","26.65000000000001","15.733333333333333","1.0133333333333336"
"ObjectId(5d7a38a295fad01a4ccc7b59)","36.18755918","-86.86244072","29B1","18:03.0","18:03.0","244","0","POINT (-86.86244072 36.18755918)","15670","0.30070078","1520000000","9","7","255","2","Thu","2019.255.2","1524322963","15:00.0","9/12/2019 10:15","59.8","59.0","59.0","23.39","30.0","100.0","0.0","0.0","2019","1524322963","BRILEY PKWY","3177297","2019.255.2","0.0","26.65000000000001","15.733333333333333","1.0133333333333336"
"ObjectId(5d7a38a295fad01a4ccc7b59)","36.18755918","-86.86244072","29B1","18:03.0","18:03.0","244","0","POINT (-86.86244072 36.18755918)","15670","0.30070078","1520000000","9","7","255","2","Thu","2019.255.2","1524322963","10:00.0","9/12/2019 10:10","62.35","58.0","59.0","22.43","30.0","97.0","0.0","0.0","2019","1524322963","BRILEY PKWY","3177297","2019.255.2","0.0","26.65000000000001","15.733333333333333","1.0133333333333336"
"ObjectId(5d7a38a295fad01a4ccc7b59)","36.18755918","-86.86244072","29B1","18:03.0","18:03.0","244","0","POINT (-86.86244072 36.18755918)","15670","0.30070078","1520000000","9","7","255","2","Thu","2019.255.2","1524322963","05:00.0","9/12/2019 10:05","62.18","58.0","59.0","22.49","30.0","99.0","0.0","0.0","2019","1524322963","BRILEY PKWY","3177297","2019.255.2","0.0","26.65000000000001","15.733333333333333","1.0133333333333336"
"ObjectId(5d7a38a295fad01a4ccc7b59)","36.18755918","-86.86244072","29B1","18:03.0","18:03.0","244","0","POINT (-86.86244072 36.18755918)","15670","0.30070078","1520000000","9","7","255","2","Thu","2019.255.2","1524322963","00:00.0","9/12/2019 10:00","61.2","58.0","59.0","22.85","30.0","100.0","0.0","0.0","2019","1524322963","BRILEY PKWY","3177297","2019.255.2","0.0","26.65000000000001","15.733333333333333","1.0133333333333336"
"ObjectId(5d7a38a295fad01a4ccc7b59)","36.18755918","-86.86244072","29B1","18:03.0","18:03.0","244","0","POINT (-86.86244072 36.18755918)","15670","0.30070078","1520000000","9","7","255","2","Thu","2019.255.2","1524322963","55:00.0","9/12/2019 9:55","61.78","58.0","59.0","22.64","30.0","99.0","0.0","0.0","2019","1524322963","BRILEY PKWY","3177297","2019.255.2","0.0","26.65000000000001","15.733333333333333","1.0133333333333336"
"ObjectId(5d7a38a295fad01a4ccc7b59)","36.18755918","-86.86244072","29B1","18:03.0","18:03.0","244","0","POINT (-86.86244072 36.18755918)","15670","0.30070078","1520000000","9","7","255","2","Thu","2019.255.2","1524322963","50:00.0","9/12/2019 9:50","65.52","58.0","59.0","21.35","30.0","79.0","0.0","0.0","2019","1524322963","BRILEY PKWY","3177297","2019.255.2","0.0","26.65000000000001","15.733333333333333","1.0133333333333336"
"ObjectId(5d7a38a295fad01a4ccc7b59)","36.18755918","-86.86244072","29B1","18:03.0","18:03.0","244","0","POINT (-86.86244072 36.18755918)","15670","0.30070078","1520000000","9","7","255","2","Thu","2019.255.2","1524322963","45:00.0","9/12/2019 9:45","62.99","58.0","59.0","22.2","30.0","100.0","0.0","0.0","2019","1524322963","BRILEY PKWY","3177297","2019.255.2","0.0","26.65000000000001","15.733333333333333","1.0133333333333336"
"ObjectId(5d7a38a295fad01a4ccc7b59)","36.18755918","-86.86244072","29B1","18:03.0","18:03.0","244","0","POINT (-86.86244072 36.18755918)","15670","0.30070078","1520000000","9","7","255","2","Thu","2019.255.2","1524322963","40:00.0","9/12/2019 9:40","61.6","58.0","59.0","22.71","30.0","100.0","0.0","0.0","2019","1524322963","BRILEY PKWY","3177297","2019.255.2","0.0","26.65000000000001","15.733333333333333","1.0133333333333336"
"ObjectId(5d7a38a295fad01a4ccc7b59)","36.18755918","-86.86244072","29B1","18:03.0","18:03.0","244","0","POINT (-86.86244072 36.18755918)","15670","0.30070078","1520000000","9","7","255","2","Thu","2019.255.2","1524322963","35:00.0","9/12/2019 9:35","61.54","58.0","59.0","22.73","30.0","99.0","0.0","0.0","2019","1524322963","BRILEY PKWY","3177297","2019.255.2","0.0","26.65000000000001","15.733333333333333","1.0133333333333336"
"ObjectId(5d7a38a295fad01a4ccc7b59)","36.18755918","-86.86244072","29B1","18:03.0","18:03.0","244","0","POINT (-86.86244072 36.18755918)","15670","0.30070078","1520000000","9","7","255","2","Thu","2019.255.2","1524322963","30:00.0","9/12/2019 9:30","59.2","58.0","59.0","23.63","30.0","100.0","0.0","0.0","2019","1524322963","BRILEY PKWY","3177297","2019.255.2","0.0","26.65000000000001","15.733333333333333","1.0133333333333336"
"ObjectId(5d7a38a295fad01a4ccc7b59)","36.18755918","-86.86244072","29B1","18:03.0","18:03.0","244","0","POINT (-86.86244072 36.18755918)","15670","0.30070078","1520000000","9","7","255","2","Thu","2019.255.2","1524322963","25:00.0","9/12/2019 9:25","61.37","58.0","59.0","22.79","30.0","100.0","0.0","0.0","2019","1524322963","BRILEY PKWY","3177297","2019.255.2","0.0","26.65000000000001","15.733333333333333","1.0133333333333336"
"ObjectId(5d7a38a295fad01a4ccc7b59)","36.18755918","-86.86244072","29B1","18:03.0","18:03.0","244","0","POINT (-86.86244072 36.18755918)","15670","0.30070078","1520000000","9","7","255","2","Thu","2019.255.2","1524322963","20:00.0","9/12/2019 9:20","61.58","58.0","59.0","22.71","30.0","100.0","0.0","0.0","2019","1524322963","BRILEY PKWY","3177297","2019.255.2","0.0","26.65000000000001","15.733333333333333","1.0133333333333336"
"ObjectId(5d7a38a295fad01a4ccc7b59)","36.18755918","-86.86244072","29B1","18:03.0","18:03.0","244","0","POINT (-86.86244072 36.18755918)","15670","0.30070078","1520000000","9","7","255","2","Thu","2019.255.2","1524322963","15:00.0","9/12/2019 9:15","63.59","58.0","59.0","21.99","30.0","93.0","0.0","0.0","2019","1524322963","BRILEY PKWY","3177297","2019.255.2","0.0","26.65000000000001","15.733333333333333","1.0133333333333336"
"ObjectId(5d7a38a295fad01a4ccc7b59)","36.18755918","-86.86244072","29B1","18:03.0","18:03.0","244","0","POINT (-86.86244072 36.18755918)","15670","0.30070078","1520000000","9","7","255","2","Thu","2019.255.2","1524322963","10:00.0","9/12/2019 9:10","68.47","58.0","59.0","20.43","30.0","70.0","0.0","0.0","2019","1524322963","BRILEY PKWY","3177297","2019.255.2","0.0","26.65000000000001","15.733333333333333","1.0133333333333336"
"ObjectId(5d7a38a295fad01a4ccc7b59)","36.18755918","-86.86244072","29B1","18:03.0","18:03.0","244","0","POINT (-86.86244072 36.18755918)","15670","0.30070078","1520000000","9","7","255","2","Thu","2019.255.2","1524322963","05:00.0","9/12/2019 9:05","64.0","58.0","59.0","21.85","30.0","98.0","0.0","0.0","2019","1524322963","BRILEY PKWY","3177297","2019.255.2","0.0","26.65000000000001","15.733333333333333","1.0133333333333336"
"ObjectId(5d7a38a295fad01a4ccc7b59)","36.18755918","-86.86244072","29B1","18:03.0","18:03.0","244","0","POINT (-86.86244072 36.18755918)","15670","0.30070078","1520000000","9","7","255","2","Thu","2019.255.2","1524322963","00:00.0","9/12/2019 9:00","64.0","58.0","59.0","21.85","30.0","98.0","0.0","0.0","2019","1524322963","BRILEY PKWY","3177297","2019.255.2","0.0","26.65000000000001","15.733333333333333","1.0133333333333336"
"ObjectId(5d7a38a295fad01a4ccc7b59)","36.18755918","-86.86244072","29B1","18:03.0","18:03.0","244","0","POINT (-86.86244072 36.18755918)","15670","0.30070078","1520000000","9","7","255","2","Thu","2019.255.2","1524322963","55:00.0","9/12/2019 8:55","65.38","58.0","59.0","21.39","30.0","97.0","0.0","0.0","2019","1524322963","BRILEY PKWY","3177297","2019.255.2","0.0","26.65000000000001","15.733333333333333","1.0133333333333336"
"ObjectId(5d7a38a295fad01a4ccc7b59)","36.18755918","-86.86244072","29B1","18:03.0","18:03.0","244","0","POINT (-86.86244072 36.18755918)","15670","0.30070078","1520000000","9","7","255","2","Thu","2019.255.2","1524322963","50:00.0","9/12/2019 8:50","66.79","58.0","59.0","20.94","30.0","100.0","0.0","0.0","2019","1524322963","BRILEY PKWY","3177297","2019.255.2","0.0","26.65000000000001","15.733333333333333","1.0133333333333336"
"ObjectId(5d7a38a295fad01a4ccc7b59)","36.18755918","-86.86244072","29B1","18:03.0","18:03.0","244","0","POINT (-86.86244072 36.18755918)","15670","0.30070078","1520000000","9","7","255","2","Thu","2019.255.2","1524322963","45:00.0","9/12/2019 8:45","67.99","58.0","59.0","20.57","30.0","100.0","0.0","0.0","2019","1524322963","BRILEY PKWY","3177297","2019.255.2","0.0","26.65000000000001","15.733333333333333","1.0133333333333336"
"ObjectId(5d7a38a295fad01a4ccc7b59)","36.18755918","-86.86244072","29B1","18:03.0","18:03.0","244","0","POINT (-86.86244072 36.18755918)","15670","0.30070078","1520000000","9","7","255","2","Thu","2019.255.2","1524322963","40:00.0","9/12/2019 8:40","68.0","58.0","59.0","20.57","30.0","94.0","0.0","0.0","2019","1524322963","BRILEY PKWY","3177297","2019.255.2","0.0","26.65000000000001","15.733333333333333","1.0133333333333336"
"ObjectId(5d7a38a295fad01a4ccc7b59)","36.18755918","-86.86244072","29B1","18:03.0","18:03.0","244","0","POINT (-86.86244072 36.18755918)","15670","0.30070078","1520000000","9","7","255","2","Thu","2019.255.2","1524322963","35:00.0","9/12/2019 8:35","67.55","58.0","59.0","20.7","30.0","68.0","0.0","0.0","2019","1524322963","BRILEY PKWY","3177297","2019.255.2","0.0","26.65000000000001","15.733333333333333","1.0133333333333336"
"ObjectId(5d7a38a295fad01a4ccc7b59)","36.18755918","-86.86244072","29B1","18:03.0","18:03.0","244","0","POINT (-86.86244072 36.18755918)","15670","0.30070078","1520000000","9","7","255","2","Thu","2019.255.2","1524322963","30:00.0","9/12/2019 8:30","61.36","58.0","59.0","22.79","30.0","99.0","0.0","0.0","2019","1524322963","BRILEY PKWY","3177297","2019.255.2","0.0","26.65000000000001","15.733333333333333","1.0133333333333336"
